SLURM_JOB_ID = 14272968
SLURM JOBID: 14272968
SLURM JOBID: 14272968
== jobstats: running vmstat in background to monitor cpu usage and memory stats
== jobstats: running vmstat in background to monitor cpu usage and memory stats
Number of nodes of list (body:0) 1049 
Number of element of list(body:0) 1984 
Number of ghost nodes 112
Number of nodes of list (body:1) 1049 
Number of element of list(body:1) 1984 
Number of ghost nodes 112
Number of nodes of list (body:2) 1049 
Number of element of list(body:2) 1984 
Number of ghost nodes 112
Fung learning rate file successfully has being read
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Epoch 10001, Average Loss: 0.0000003005, body: 0, theta: -0.797276
Epoch 10002, Average Loss: 0.0000003034, body: 0, theta: -0.798190
Epoch 10003, Average Loss: 0.0000003042, body: 0, theta: -0.800958
Epoch 10004, Average Loss: 0.0000003041, body: 0, theta: -0.803664
Epoch 10005, Average Loss: 0.0000003043, body: 0, theta: -0.804599
Epoch 10006, Average Loss: 0.0000003046, body: 0, theta: -0.803806
Epoch 10007, Average Loss: 0.0000003046, body: 0, theta: -0.802795
Epoch 10008, Average Loss: 0.0000003047, body: 0, theta: -0.802985
Epoch 10009, Average Loss: 0.0000003041, body: 0, theta: -0.804390
Epoch 10010, Average Loss: 0.0000003034, body: 0, theta: -0.805807
Epoch 10011, Average Loss: 0.0000003029, body: 0, theta: -0.806117
Epoch 10012, Average Loss: 0.0000003021, body: 0, theta: -0.805331
Epoch 10013, Average Loss: 0.0000003015, body: 0, theta: -0.804398
Epoch 10014, Average Loss: 0.0000003012, body: 0, theta: -0.804191
Epoch 10015, Average Loss: 0.0000003007, body: 0, theta: -0.804691
Epoch 10016, Average Loss: 0.0000003002, body: 0, theta: -0.805096
Epoch 10017, Average Loss: 0.0000002999, body: 0, theta: -0.804662
Epoch 10018, Average Loss: 0.0000003000, body: 0, theta: -0.803481
Epoch 10019, Average Loss: 0.0000003001, body: 0, theta: -0.802381
Epoch 10020, Average Loss: 0.0000003000, body: 0, theta: -0.802072
Epoch 10021, Average Loss: 0.0000002999, body: 0, theta: -0.802423
Epoch 10022, Average Loss: 0.0000002998, body: 0, theta: -0.802660
Epoch 10023, Average Loss: 0.0000002999, body: 0, theta: -0.802178
Epoch 10024, Average Loss: 0.0000003000, body: 0, theta: -0.801120
Epoch 10025, Average Loss: 0.0000003002, body: 0, theta: -0.800155
Epoch 10026, Average Loss: 0.0000003004, body: 0, theta: -0.799802
Epoch 10027, Average Loss: 0.0000003006, body: 0, theta: -0.799979
Epoch 10028, Average Loss: 0.0000003006, body: 0, theta: -0.800152
Epoch 10029, Average Loss: 0.0000003007, body: 0, theta: -0.799860
Epoch 10030, Average Loss: 0.0000003008, body: 0, theta: -0.799114
Epoch 10031, Average Loss: 0.0000003009, body: 0, theta: -0.798344
Epoch 10032, Average Loss: 0.0000003010, body: 0, theta: -0.797968
Epoch 10033, Average Loss: 0.0000003010, body: 0, theta: -0.798014
Epoch 10034, Average Loss: 0.0000003011, body: 0, theta: -0.798142
Epoch 10035, Average Loss: 0.0000003011, body: 0, theta: -0.798016
Epoch 10036, Average Loss: 0.0000003010, body: 0, theta: -0.797631
Epoch 10037, Average Loss: 0.0000003009, body: 0, theta: -0.797269
Epoch 10038, Average Loss: 0.0000003009, body: 0, theta: -0.797186
Epoch 10039, Average Loss: 0.0000003008, body: 0, theta: -0.797364
Epoch 10040, Average Loss: 0.0000003007, body: 0, theta: -0.797557
Epoch 10041, Average Loss: 0.0000003006, body: 0, theta: -0.797549
Epoch 10042, Average Loss: 0.0000003005, body: 0, theta: -0.797354
Epoch 10043, Average Loss: 0.0000003005, body: 0, theta: -0.797179
Epoch 10044, Average Loss: 0.0000003004, body: 0, theta: -0.797208
Epoch 10045, Average Loss: 0.0000003004, body: 0, theta: -0.797418
Epoch 10046, Average Loss: 0.0000003003, body: 0, theta: -0.797607
Epoch 10047, Average Loss: 0.0000003003, body: 0, theta: -0.797606
