CPU_MEM_TOTAL: 394153260
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 1
REQUESTED_CPUS: 1
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c696
NODE_NAME: c696
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0   5964 372384896   5060 5081596    0    0     1     2    0    0 35  1 63  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0   5964 372384384   5060 5081596    0    0     1     2    0    0 35  1 63  0  0
11  0   5964 372108352   5060 5152716    0    0     0 12447 13987 10277 23  0 77  0  0
11  0   5964 372108352   5060 5152716    0    0     0 12447 13960 10137 23  0 77  0  0
12  0   5964 369560288   5060 5157996    0    0     0     4 12685 1147 24  0 75  0  0
12  0   5964 369560288   5060 5157996    0    0     0     4 12684 1147 24  0 75  0  0
12  0   5964 369559584   5060 5157996    0    0     0     2 12654  472 25  0 75  0  0
12  0   5964 369559584   5060 5157996    0    0     0     2 12654  472 25  0 75  0  0
12  0   5964 369543168   5060 5161236    0    0     0     0 11672  516 23  0 77  0  0
12  0   5964 369543168   5060 5161236    0    0     0     0 11673  516 23  0 77  0  0
12  0   5964 369540128   5060 5164496    0    0     0    29 12783  785 25  0 75  0  0
12  0   5964 369540128   5060 5164496    0    0     0    29 12782  785 25  0 75  0  0
12  0   5964 369530752   5060 5167744    0    0     0     2 12627  495 25  0 75  0  0
13  0   5964 369530752   5060 5167744    0    0     0     2 12625  495 25  0 75  0  0
13  0   5964 369527488   5060 5170992    0    0     0     0 12672  505 25  0 75  0  0
12  0   5964 369527488   5060 5170992    0    0     0     0 12686  507 25  0 75  0  0
13  0   5964 369524288   5060 5174212    0    0     0    10 12657  532 25  0 75  0  0
12  0   5964 369524288   5060 5174212    0    0     0    10 12656  532 25  0 75  0  0
13  0   5964 369520864   5060 5176476    0    0     0     0 12614  495 25  0 75  0  0
12  0   5964 369520864   5060 5176476    0    0     0     0 12614  495 25  0 75  0  0
13  0   5964 369520768   5060 5177528    0    0     0     0 12658  483 25  0 75  0  0
12  0   5964 369520768   5060 5177528    0    0     0     0 12658  483 25  0 75  0  0
13  0   5964 369515456   5060 5180800    0    0     0     7 13285 3025 25  0 75  0  0
12  0   5964 369515456   5060 5180800    0    0     0     7 13285 3025 25  0 75  0  0
13  0   5964 369513088   5060 5184068    0    0     0   968 12641  498 25  0 75  0  0
12  0   5964 369513088   5060 5184068    0    0     0   968 12641  498 25  0 75  0  0
13  0   5964 369509760   5060 5187336    0    0     0     0 12632  505 25  0 75  0  0
12  0   5964 369509760   5060 5187336    0    0     0     0 12632  505 25  0 75  0  0
13  0   5964 369506944   5060 5190620    0    0     0     6 12629  576 25  0 75  0  0
12  0   5964 369506944   5060 5190620    0    0     0     6 12629  576 25  0 75  0  0
13  0   5964 369506688   5060 5190620    0    0     0     0 12590  470 25  0 75  0  0
12  0   5964 369506688   5060 5190620    0    0     0     0 12590  470 25  0 75  0  0
13  0   5964 369501056   5060 5193896    0    0     0 11623 11726  703 23  0 77  0  0
12  0   5964 369501056   5060 5193896    0    0     0 11623 11726  703 23  0 77  0  0
13  0   5964 369497856   5060 5196516    0    0     0     5 12634  791 25  0 75  0  0
12  0   5964 369497856   5060 5196516    0    0     0     5 12634  791 25  0 75  0  0
13  0   5964 369490240   5060 5199816    0    0     0     0 12463  487 25  0 75  0  0
